City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2022-03-26 16:47:17,-42.8794,147.3294,59.25,97,40,0.0
68,Velikiy Novgorod,RU,2022-03-26 16:47:19,58.5167,31.2833,26.82,84,100,19.48
69,Jodhpur,IN,2022-03-26 16:47:20,26.2867,73.03,84.56,9,0,4.68
70,Poronaysk,RU,2022-03-26 16:47:20,49.2167,143.1167,30.07,99,100,8.77
71,Carnarvon,AU,2022-03-26 16:47:20,-24.8667,113.6333,77.07,73,75,8.05
72,Ostrovnoy,RU,2022-03-26 16:47:21,68.0531,39.5131,21.74,60,100,16.62
73,Cape Town,ZA,2022-03-26 16:47:22,-33.9258,18.4232,75.11,61,0,14.97
74,Hilo,US,2022-03-26 16:47:22,19.7297,-155.09,68.25,91,100,6.91
75,Coihaique,CL,2022-03-26 16:47:22,-45.5752,-72.0662,61.41,59,75,5.75
76,Mahebourg,MU,2022-03-26 16:47:23,-20.4081,57.7,81.25,83,40,4.61
77,Saskylakh,RU,2022-03-26 16:47:23,71.9167,114.0833,-22.41,100,100,2.73
78,De Aar,ZA,2022-03-26 16:47:23,-30.6497,24.0123,71.53,25,2,8.25
79,Nguruka,TZ,2022-03-26 16:47:24,-5.1092,31.0419,72.75,75,62,1.05
80,Bengkulu,ID,2022-03-26 16:47:24,-3.8004,102.2655,78.19,85,100,6.85
81,Port Hawkesbury,CA,2022-03-26 16:42:39,45.6169,-61.3485,48.87,83,100,8.05
82,Kahului,US,2022-03-26 16:47:25,20.8947,-156.47,69.84,92,75,12.66
83,Faya,SA,2022-03-26 16:47:25,18.3851,42.4509,64.51,49,0,2.48
84,Pangai,TO,2022-03-26 16:47:25,-19.8,-174.35,79.92,77,69,11.81
85,Esperance,AU,2022-03-26 16:47:25,-33.8667,121.9,64.24,81,100,3.6
86,Emerald,AU,2022-03-26 16:47:26,-23.5333,148.1667,66.34,100,75,17.27
87,Solnechnyy,RU,2022-03-26 16:48:27,50.7214,136.6319,24.26,96,100,8.32
88,Somotillo,NI,2022-03-26 16:48:27,13.0433,-86.9064,91.54,24,49,8.28
89,Khatanga,RU,2022-03-26 16:48:27,71.9667,102.5,-12.17,100,34,7.2
90,Balgazyn,RU,2022-03-26 16:48:27,51.0,95.2,6.62,92,7,2.19
91,Rio Branco,BR,2022-03-26 16:46:20,-9.9747,-67.81,81.21,83,75,2.3
92,Ulaanbaatar,MN,2022-03-26 16:44:40,47.9077,106.8832,10.53,31,0,2.24
93,Yellowknife,CA,2022-03-26 16:48:28,62.456,-114.3525,-9.71,58,75,9.22
94,Teguldet,RU,2022-03-26 16:48:29,57.3064,88.1667,15.28,89,97,11.12
95,Kentau,KZ,2022-03-26 16:48:29,43.5206,68.5094,43.45,94,96,5.12
96,Jamestown,US,2022-03-26 16:48:29,42.097,-79.2353,37.53,60,100,13.8
97,Kupang,ID,2022-03-26 16:48:30,-10.1667,123.5833,77.83,88,12,2.82
98,Selcuk,TR,2022-03-26 16:48:30,37.9514,27.3685,59.02,52,0,5.59
99,Shache,CN,2022-03-26 16:48:30,38.4167,77.2406,55.65,34,0,7.94
100,Kaitangata,NZ,2022-03-26 16:48:31,-46.2817,169.8464,48.61,96,56,4.07
101,East London,ZA,2022-03-26 16:45:24,-33.0153,27.9116,65.34,88,75,5.75
102,Castro,BR,2022-03-26 16:48:31,-24.7911,-50.0119,73.45,76,93,9.1
103,Alofi,NU,2022-03-26 16:48:31,-19.0595,-169.9187,78.69,89,100,9.22
104,Orlik,RU,2022-03-26 16:48:32,52.5178,99.825,-4.92,95,71,2.98
105,Ola,RU,2022-03-26 16:48:32,59.5833,151.2833,-2.2,90,19,7.09
106,Caravelas,BR,2022-03-26 16:48:32,-17.7125,-39.2481,86.92,56,69,9.71
107,Berlevag,NO,2022-03-26 16:48:33,70.8578,29.0864,22.8,62,100,28.99
108,Nikolskoye,RU,2022-03-26 16:48:33,59.7035,30.7861,28.87,88,100,20.47
109,Melilla,ES,2022-03-26 16:48:33,35.2937,-2.9383,64.6,72,20,4.61
110,Barrow,US,2022-03-26 16:48:34,71.2906,-156.7887,-3.98,77,0,20.71
111,Arlit,NE,2022-03-26 16:48:34,18.7369,7.3853,94.89,6,48,10.36
112,Ribeira Grande,PT,2022-03-26 16:48:34,38.5167,-28.7,59.4,82,75,9.22
113,Skoghall,SE,2022-03-26 16:48:00,59.3232,13.4655,43.36,39,84,13.8
114,Iqaluit,CA,2022-03-26 16:45:23,63.7506,-68.5145,22.73,79,75,21.85
115,Vao,NC,2022-03-26 16:48:35,-22.6667,167.4833,76.03,76,77,14.34
116,Port-Cartier,CA,2022-03-26 16:48:35,50.0334,-66.8654,32.76,99,100,9.46
117,Yaan,NG,2022-03-26 16:48:36,7.3833,8.5667,101.28,10,70,0.45
118,Turinsk,RU,2022-03-26 16:48:36,58.0458,63.696,17.8,85,37,11.59
119,Ust-Nera,RU,2022-03-26 16:48:36,64.5667,143.2,-10.61,99,89,3.06
120,Stettler,CA,2022-03-26 16:48:37,52.3168,-112.7186,24.55,74,100,17.27
121,Samarai,PG,2022-03-26 16:48:37,-10.6167,150.6667,81.54,76,100,3.31
122,Cherskiy,RU,2022-03-26 16:48:37,68.75,161.3,-25.82,100,97,5.88
123,Kieta,PG,2022-03-26 16:48:38,-6.2167,155.6333,75.83,91,100,2.04
124,Puerto Penasco,MX,2022-03-26 16:48:38,31.3167,-113.5333,67.91,56,96,8.68
125,Wladyslawowo,PL,2022-03-26 16:46:02,54.7909,18.4009,44.94,62,27,16.96
126,Kencong,ID,2022-03-26 16:48:38,-8.2833,113.3667,75.74,90,100,2.15
127,Albany,US,2022-03-26 16:41:35,42.6001,-73.9662,48.16,63,100,1.99
128,Hithadhoo,MV,2022-03-26 16:48:38,-0.6,73.0833,83.68,68,6,13.4
129,Butaritari,KI,2022-03-26 16:48:39,3.0707,172.7902,80.11,75,100,12.8
130,Puerto Leguizamo,CO,2022-03-26 16:48:39,-0.1934,-74.7819,74.62,95,100,0.51
131,San Jose,US,2022-03-26 16:45:05,37.3394,-121.895,65.84,69,20,0.0
132,Havoysund,NO,2022-03-26 16:48:39,70.9963,24.6622,25.03,63,100,22.26
133,La Ronge,CA,2022-03-26 16:48:40,55.1001,-105.2842,-5.55,41,0,3.44
134,Tombouctou,ML,2022-03-26 16:48:40,20.0,-3.0,97.88,14,13,10.47
135,Sur,OM,2022-03-26 16:49:40,22.5667,59.5289,83.16,37,1,6.96
136,New Norfolk,AU,2022-03-26 16:49:41,-42.7826,147.0587,58.91,81,2,2.51
137,Leh,IN,2022-03-26 16:49:41,34.1667,77.5833,18.18,48,0,3.27
138,Lieksa,FI,2022-03-26 16:49:41,63.3167,30.0167,21.97,65,100,22.55
139,Lebu,CL,2022-03-26 16:46:09,-37.6167,-73.65,61.75,69,82,7.85
140,Innisfail,AU,2022-03-26 16:49:41,-17.5333,146.0333,72.34,92,91,4.68
141,Jimenez,MX,2022-03-26 16:49:42,28.3333,-105.4,75.43,5,86,7.58
142,Biala Podlaska,PL,2022-03-26 16:49:42,52.0324,23.1165,45.28,44,45,20.87
143,Vila,PT,2022-03-26 16:47:58,42.0304,-8.1588,56.7,54,99,3.04
144,Georgetown,MY,2022-03-26 16:49:15,5.4112,100.3354,84.13,88,20,3.44
145,Kidal,ML,2022-03-26 16:49:42,18.4411,1.4078,98.62,8,25,15.68
